Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
83.000000	0.000500	0.002776	0.002908	0.882701	0.851545	
84.000000	0.000500	0.002759	0.002935	0.883999	0.849992	
85.000000	0.000500	0.002761	0.002915	0.882952	0.851916	
86.000000	0.000500	0.002773	0.002898	0.882735	0.852993	
87.000000	0.000500	0.002751	0.002902	0.885642	0.855455	
88.000000	0.000500	0.002756	0.002929	0.885318	0.852452	
89.000000	0.000500	0.002740	0.002909	0.887863	0.854144	
90.000000	0.000500	0.002751	0.002914	0.885589	0.853877	
91.000000	0.000500	0.002730	0.002924	0.888814	0.854481	
92.000000	0.000500	0.002732	0.002912	0.886836	0.856755	
93.000000	0.000500	0.002745	0.002902	0.886541	0.855560	
94.000000	0.000500	0.002719	0.002907	0.889536	0.855538	
95.000000	0.000500	0.002730	0.002899	0.888922	0.856006	
96.000000	0.000500	0.002716	0.002893	0.889980	0.857777	
97.000000	0.000500	0.002706	0.002886	0.891613	0.859071	
98.000000	0.000500	0.002707	0.002897	0.891651	0.858340	
99.000000	0.000500	0.002706	0.002927	0.892083	0.855358	
100.000000	0.000500	0.002707	0.002884	0.891920	0.858173	
101.000000	0.000500	0.002690	0.002920	0.894723	0.851253	
102.000000	0.000500	0.002667	0.002896	0.896994	0.857685	
103.000000	0.000500	0.002686	0.002900	0.895584	0.855347	
104.000000	0.000500	0.002688	0.002893	0.894176	0.856673	
105.000000	0.000500	0.002684	0.002904	0.894747	0.859465	
106.000000	0.000500	0.002672	0.002869	0.897778	0.857814	
107.000000	0.000500	0.002669	0.002885	0.896724	0.859670	
108.000000	0.000500	0.002658	0.002883	0.898472	0.857274	
109.000000	0.000500	0.002665	0.002903	0.897380	0.857827	
110.000000	0.000500	0.002651	0.002910	0.898828	0.857669	
111.000000	0.000500	0.002662	0.002885	0.898047	0.858693	
112.000000	0.000500	0.002638	0.002901	0.900774	0.854673	
113.000000	0.000500	0.002640	0.002906	0.900625	0.853592	
114.000000	0.000500	0.002647	0.002888	0.900148	0.857911	
115.000000	0.000500	0.002640	0.002882	0.899787	0.859284	
116.000000	0.000500	0.002628	0.002891	0.902227	0.855559	
117.000000	0.000500	0.002635	0.002892	0.900752	0.859140	
118.000000	0.000500	0.002633	0.002905	0.901192	0.857849	
119.000000	0.000500	0.002622	0.002907	0.902615	0.855718	
120.000000	0.000500	0.002614	0.002879	0.905192	0.857597	
121.000000	0.000500	0.002619	0.002878	0.903306	0.862215	
122.000000	0.000500	0.002607	0.002900	0.904868	0.858329	
123.000000	0.000500	0.002621	0.002891	0.903855	0.858145	
124.000000	0.000500	0.002611	0.002880	0.904838	0.861088	
125.000000	0.000500	0.002608	0.002876	0.904820	0.860562	
126.000000	0.000500	0.002613	0.002883	0.905590	0.862259	
127.000000	0.000500	0.002606	0.002873	0.904762	0.861885	
128.000000	0.000500	0.002615	0.002875	0.904305	0.859919	
129.000000	0.000500	0.002586	0.002884	0.907506	0.858331	
130.000000	0.000500	0.002596	0.002891	0.905666	0.856814	
131.000000	0.000500	0.002594	0.002903	0.906464	0.859514	
132.000000	0.000500	0.002584	0.002893	0.907854	0.859575	
133.000000	0.000500	0.002583	0.002899	0.907082	0.860885	
134.000000	0.000500	0.002564	0.002899	0.911015	0.858781	
135.000000	0.000500	0.002576	0.002903	0.909173	0.858668	
136.000000	0.000500	0.002575	0.002908	0.909102	0.858128	
137.000000	0.000500	0.002572	0.002913	0.909621	0.857899	
138.000000	0.000500	0.002561	0.002902	0.911536	0.858439	
139.000000	0.000500	0.002565	0.002883	0.910802	0.856763	
140.000000	0.000500	0.002560	0.002909	0.911762	0.858513	
141.000000	0.000500	0.002557	0.002899	0.911046	0.862810	
142.000000	0.000500	0.002551	0.002887	0.911588	0.861849	
143.000000	0.000500	0.002547	0.002901	0.913142	0.860884	
144.000000	0.000500	0.002550	0.002918	0.912200	0.861797	
145.000000	0.000500	0.002551	0.002869	0.912576	0.864412	
146.000000	0.000500	0.002531	0.002895	0.914324	0.860120	
147.000000	0.000500	0.002534	0.002897	0.914657	0.859907	
148.000000	0.000500	0.002531	0.002904	0.914980	0.862509	
149.000000	0.000500	0.002533	0.002876	0.914303	0.861317	
150.000000	0.000500	0.002538	0.002922	0.913523	0.856985	
151.000000	0.000050	0.002439	0.002846	0.924530	0.866519	
152.000000	0.000050	0.002407	0.002845	0.927328	0.866599	
153.000000	0.000050	0.002407	0.002844	0.926876	0.868232	
154.000000	0.000050	0.002394	0.002839	0.928212	0.868187	
155.000000	0.000050	0.002373	0.002850	0.930758	0.866678	
156.000000	0.000050	0.002380	0.002838	0.930610	0.866903	
157.000000	0.000050	0.002371	0.002845	0.931205	0.869399	
158.000000	0.000050	0.002362	0.002843	0.931487	0.868834	
159.000000	0.000050	0.002375	0.002839	0.929814	0.867302	
160.000000	0.000050	0.002350	0.002849	0.932470	0.867295	
161.000000	0.000050	0.002343	0.002850	0.933484	0.868458	
162.000000	0.000050	0.002360	0.002834	0.931816	0.868777	
163.000000	0.000050	0.002345	0.002848	0.934344	0.868680	
164.000000	0.000050	0.002361	0.002847	0.931998	0.867602	
165.000000	0.000050	0.002346	0.002850	0.934234	0.867804	
166.000000	0.000050	0.002340	0.002846	0.933503	0.869815	
167.000000	0.000050	0.002338	0.002843	0.934497	0.870296	
168.000000	0.000050	0.002339	0.002850	0.935443	0.869050	
169.000000	0.000050	0.002333	0.002851	0.934914	0.868582	
170.000000	0.000050	0.002348	0.002849	0.933707	0.868483	
171.000000	0.000050	0.002333	0.002855	0.935436	0.868754	
172.000000	0.000050	0.002322	0.002847	0.935444	0.869901	
173.000000	0.000050	0.002330	0.002859	0.934824	0.868534	
174.000000	0.000050	0.002327	0.002850	0.935327	0.870634	
175.000000	0.000050	0.002313	0.002859	0.936700	0.867249	
176.000000	0.000005	0.002309	0.002849	0.937714	0.869835	
177.000000	0.000005	0.002309	0.002847	0.936601	0.869017	
178.000000	0.000005	0.002306	0.002846	0.937557	0.870304	
179.000000	0.000005	0.002297	0.002850	0.938284	0.868610	
180.000000	0.000005	0.002309	0.002849	0.936593	0.869014	
181.000000	0.000005	0.002312	0.002851	0.936055	0.868886	
182.000000	0.000005	0.002306	0.002854	0.937137	0.869837	
183.000000	0.000005	0.002306	0.002850	0.938256	0.870007	
184.000000	0.000005	0.002314	0.002851	0.936111	0.869836	
185.000000	0.000005	0.002309	0.002848	0.936727	0.870217	
186.000000	0.000005	0.002296	0.002851	0.938272	0.869820	
187.000000	0.000005	0.002299	0.002850	0.938369	0.869857	
188.000000	0.000005	0.002296	0.002847	0.938657	0.869960	
189.000000	0.000005	0.002300	0.002846	0.937279	0.869601	
190.000000	0.000005	0.002296	0.002851	0.938024	0.870004	
191.000000	0.000005	0.002296	0.002853	0.938255	0.869346	
192.000000	0.000005	0.002305	0.002852	0.936813	0.869559	
193.000000	0.000005	0.002301	0.002849	0.937614	0.868559	
194.000000	0.000005	0.002297	0.002855	0.938152	0.869291	
195.000000	0.000005	0.002302	0.002850	0.937018	0.869545	
196.000000	0.000005	0.002290	0.002851	0.939059	0.868983	
197.000000	0.000005	0.002308	0.002848	0.937344	0.869971	
198.000000	0.000005	0.002305	0.002848	0.936579	0.868777	
199.000000	0.000005	0.002315	0.002851	0.936880	0.868835	
200.000000	0.000005	0.002296	0.002849	0.938492	0.869631	
201.000000	0.000001	0.002300	0.002854	0.937789	0.869511	
202.000000	0.000001	0.002312	0.002851	0.937027	0.869596	
203.000000	0.000001	0.002300	0.002847	0.937323	0.869882	
204.000000	0.000001	0.002305	0.002849	0.938590	0.870062	
205.000000	0.000001	0.002290	0.002853	0.938446	0.869849	
206.000000	0.000001	0.002296	0.002849	0.938447	0.869244	
207.000000	0.000001	0.002309	0.002848	0.936905	0.870156	
208.000000	0.000001	0.002303	0.002848	0.937728	0.870964	
209.000000	0.000001	0.002308	0.002847	0.936841	0.870144	
210.000000	0.000001	0.002302	0.002851	0.938039	0.871071	
211.000000	0.000001	0.002297	0.002853	0.936762	0.868813	
212.000000	0.000001	0.002311	0.002849	0.936803	0.869248	
213.000000	0.000001	0.002303	0.002853	0.938005	0.870388	
214.000000	0.000001	0.002305	0.002850	0.936520	0.870659	
215.000000	0.000001	0.002296	0.002850	0.937974	0.869413	
216.000000	0.000001	0.002306	0.002853	0.936923	0.869367	
217.000000	0.000001	0.002296	0.002851	0.938224	0.869097	
218.000000	0.000001	0.002311	0.002848	0.937509	0.870624	
219.000000	0.000001	0.002300	0.002852	0.938798	0.869141	
220.000000	0.000001	0.002296	0.002851	0.938217	0.868861	
