Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
1.000000	0.000500	0.007566	0.029856	0.160168	0.297853	
2.000000	0.000500	0.005827	0.007479	0.333718	0.452979	
3.000000	0.000500	0.005331	0.034972	0.467071	0.540218	
4.000000	0.000500	0.004967	0.004886	0.547368	0.620946	
5.000000	0.000500	0.004584	0.004103	0.594202	0.653317	
6.000000	0.000500	0.004168	0.003832	0.627775	0.682254	
7.000000	0.000500	0.004017	0.003744	0.648921	0.689263	
8.000000	0.000500	0.003893	0.003681	0.672511	0.694374	
9.000000	0.000500	0.003810	0.003594	0.689830	0.718351	
10.000000	0.000500	0.003753	0.003518	0.701452	0.731230	
11.000000	0.000500	0.003686	0.003452	0.714115	0.745227	
12.000000	0.000500	0.003638	0.003517	0.724276	0.732268	
13.000000	0.000500	0.003604	0.003475	0.733084	0.745414	
14.000000	0.000500	0.003549	0.003377	0.742879	0.762462	
15.000000	0.000500	0.003525	0.003478	0.747325	0.740037	
16.000000	0.000500	0.003484	0.003347	0.755792	0.766916	
17.000000	0.000500	0.003466	0.003312	0.760151	0.775540	
18.000000	0.000500	0.003422	0.003324	0.768052	0.778352	
19.000000	0.000500	0.003399	0.003317	0.772993	0.778836	
20.000000	0.000500	0.003381	0.003226	0.776429	0.788911	
21.000000	0.000500	0.003350	0.003240	0.780596	0.788641	
22.000000	0.000500	0.003327	0.003216	0.787042	0.792480	
23.000000	0.000500	0.003308	0.003216	0.790233	0.800127	
24.000000	0.000500	0.003286	0.003171	0.795475	0.802410	
25.000000	0.000500	0.003269	0.003141	0.797170	0.812227	
26.000000	0.000500	0.003250	0.003152	0.802893	0.808471	
27.000000	0.000500	0.003240	0.003120	0.804322	0.816364	
28.000000	0.000500	0.003216	0.003141	0.808811	0.804264	
29.000000	0.000500	0.003206	0.003142	0.809522	0.811828	
30.000000	0.000500	0.003189	0.003094	0.812532	0.815475	
31.000000	0.000500	0.003170	0.003093	0.814193	0.816894	
32.000000	0.000500	0.003154	0.003092	0.818198	0.813901	
33.000000	0.000500	0.003151	0.003074	0.819095	0.820092	
34.000000	0.000500	0.003144	0.003156	0.820888	0.813316	
35.000000	0.000500	0.003114	0.003069	0.825838	0.819751	
36.000000	0.000500	0.003108	0.003052	0.826793	0.823849	
37.000000	0.000500	0.003108	0.003078	0.826077	0.824104	
38.000000	0.000500	0.003089	0.003094	0.829090	0.815477	
39.000000	0.000500	0.003070	0.003038	0.833502	0.828436	
40.000000	0.000500	0.003068	0.003066	0.835714	0.828691	
41.000000	0.000500	0.003056	0.003026	0.837007	0.832808	
42.000000	0.000500	0.003047	0.003027	0.839017	0.831340	
43.000000	0.000500	0.003045	0.003007	0.839180	0.834820	
44.000000	0.000500	0.003025	0.003009	0.841922	0.831368	
45.000000	0.000500	0.003027	0.003007	0.841596	0.832535	
46.000000	0.000500	0.003014	0.002992	0.844602	0.833839	
47.000000	0.000500	0.003007	0.003011	0.845083	0.833477	
48.000000	0.000500	0.002983	0.003005	0.848272	0.838814	
49.000000	0.000500	0.002984	0.003005	0.849353	0.837794	
50.000000	0.000500	0.002988	0.002974	0.847081	0.841503	
51.000000	0.000500	0.002972	0.002978	0.851081	0.838540	
52.000000	0.000500	0.002959	0.002970	0.852848	0.841273	
53.000000	0.000500	0.002953	0.002976	0.853949	0.836020	
54.000000	0.000500	0.002936	0.002977	0.856820	0.840232	
55.000000	0.000500	0.002936	0.002970	0.856659	0.840704	
56.000000	0.000500	0.002939	0.002999	0.857164	0.838262	
57.000000	0.000500	0.002926	0.002951	0.858533	0.846026	
58.000000	0.000500	0.002930	0.002964	0.858817	0.843250	
59.000000	0.000500	0.002905	0.002944	0.860337	0.847236	
60.000000	0.000500	0.002906	0.002944	0.861119	0.843588	
61.000000	0.000500	0.002906	0.002946	0.860224	0.845947	
62.000000	0.000500	0.002893	0.003132	0.863468	0.811251	
63.000000	0.000500	0.002883	0.002980	0.865773	0.842696	
64.000000	0.000500	0.002879	0.002938	0.865510	0.846228	
65.000000	0.000500	0.002874	0.002952	0.865868	0.845680	
66.000000	0.000500	0.002864	0.002991	0.867568	0.843280	
67.000000	0.000500	0.002858	0.002950	0.869296	0.848422	
68.000000	0.000500	0.002859	0.002938	0.869240	0.849703	
69.000000	0.000500	0.002851	0.002934	0.870557	0.849504	
70.000000	0.000500	0.002837	0.002943	0.871844	0.851179	
71.000000	0.000500	0.002837	0.002968	0.873174	0.843197	
72.000000	0.000500	0.002832	0.002938	0.872834	0.849258	
73.000000	0.000500	0.002828	0.002917	0.875017	0.850911	
74.000000	0.000500	0.002818	0.002945	0.876894	0.842383	
75.000000	0.000500	0.002820	0.002918	0.874928	0.851600	
76.000000	0.000500	0.002812	0.002904	0.876161	0.849843	
77.000000	0.000500	0.002795	0.002930	0.877603	0.851843	
78.000000	0.000500	0.002804	0.002913	0.877489	0.854769	
79.000000	0.000500	0.002788	0.002923	0.881199	0.852905	
80.000000	0.000500	0.002793	0.002930	0.879615	0.847575	
81.000000	0.000500	0.002790	0.002923	0.880678	0.852113	
82.000000	0.000500	0.002772	0.002906	0.882421	0.851365	
